Area,Fishery,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Skeena,  Dist. 105,0,4.57519E-06,4.11903E-07,4.08426E-05,3.09318E-05,0,7.99461E-06,0,2.57166E-06,3.13867E-05,2.38125E-07,0.000918003,4.77951E-06,0.001571654,6.67877E-06,0.001348599,0.000377915,3.23192E-05,6.39353E-06,1.07192E-05,1.45716E-06,0.000172847,2.20197E-05,0.000400509,1.00855E-05,8.79125E-05,0,5.35216E-05,2.61322E-05,1.60516E-05,4.42409E-07,8.33255E-06,1.49625E-05,9.97068E-05,0,0.000461979,0.000176787,5.8365E-05,0.000155482
Skeena,  Term. 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Noyes,,,,0.01985967,0.087988842,0.036633811,0.05472168,0.056406952,0.06298858,0.051607097,0.050316211,0.03541362,0.100297681,0.042209028,0.086109962,0.1651137,0.108707289,0.026104465,0.013500388,0.092640339,0.004236543,0.02686773,0.099032067,0.047368552,0.06735934,0.237254347,0.030139542,0.043079175,0.001519566,0.02002116,0.004550974,0.005594068,0.023884632,0.041149975,0.057752814,0.016340259,0.010279294,0.053236972,0.037443173
Nass,  Dall,,,,0.010099809,0.079418224,0.030659053,0.033895981,0.047100393,0.067146335,0.048919912,0.034860751,0.049332623,0.045576715,0.050105627,0.073241932,0.130525562,0.056205332,0.016262343,0.014180919,0.034987281,0.002156021,0.01475619,0.014460071,0.009289569,0.00386525,0.050948983,0.001309158,0.014360304,0.000134414,0.01118354,0.00134432,0.001523661,0.015379745,0.009839436,0.025735726,0.003474746,0.002272332,0.009419053,0.005067854
Nass,  Cordova,,,,0.000580053,0.000780113,5.50751E-05,0.000605775,0.000184086,0.000206691,0.000118874,6.53033E-05,0.00024598,0.000439593,8.12847E-05,0.000123293,6.03159E-05,0.000238837,0,0.001618257,0.000142953,0.00011966,0.00032867,8.92409E-05,0.000325397,1.41915E-05,0.000494844,0.000278656,0.001946689,3.18949E-05,2.33514E-05,5.87222E-05,1.59546E-05,0.000160092,0.000315396,0.000244112,1.08501E-05,6.32961E-05,0.000217078,0.000149055
Nass,  Sumner,,,,0.032244031,0.025013698,0.015470768,0.007284258,0.019750018,0.03503306,0.023739411,0.007414988,0.006554496,0.016434566,0.013472732,0.022177626,0.014441631,0.016167849,0.008413561,0.009255857,0.026616788,0.002383946,0.004481635,0.015379861,0.024698706,0.013643198,0.008463821,0.006947999,0.02425713,0.012008448,0.00935674,0.000912292,0.004353601,0.00200115,0.013540159,0.013475883,0.004535344,0.002487539,0.002901428,0.003116595
Nass,  U. Clar,,,,0.021952852,0.017954738,0.008785364,0.004290283,0.015149578,0.018049575,0.01395522,0.002708047,0.003897079,0.005021872,0.006448875,0.010103415,0.004167827,0.007606251,0.003487161,0.004742948,0.016122671,0.000807707,0.00227861,0.005707362,0.0091891,0.010690075,0.00205576,0.003606756,0.009432749,0.009279151,0.005572011,0.000503334,0.003238776,0.003474724,0.010894977,0.00932598,0.003065155,0.002386265,0.003113211,0.003011579
Nass,  M. Clar,,,,0.000255556,0.000707262,0,0,0.000588052,0.000282841,2.29407E-05,0.000170401,0.000159026,0.000177987,0.00089071,0.000213392,0.000890664,0.000987661,0.000563594,0.000340265,0.002772941,0.000275646,0.00043483,0.001692535,0.001874409,0.000175459,0.000763853,0.00056257,0.003825591,4.78424E-05,4.67029E-05,2.09722E-06,2.19375E-05,0.000509384,0.000331511,0.000492744,2.71253E-06,0.000310151,0.001567195,0.000406512
Nass,  L. Clar,,,,0.026363867,0.030579211,0.034478777,0.043039944,0.048873071,0.075496657,0.025723778,0.011297985,0.017810038,0.02952082,0.048378113,0.018281556,0.010750299,0.028061923,0.020638201,0.015776811,0.069285632,0.012649086,0.008756047,0.041931062,0.025440972,0.014743685,0.028035059,0.013856566,0.050984121,0.016316544,0.027400213,0.028350261,0.037403475,0.016222048,0.026670534,0.03295059,0.011181034,0.014039085,0.02913341,0.023574327
Nass,  Revilla,,,,0.004289774,0.019033844,0.022017596,0.027910525,0.061673851,0.017908155,0.010996918,0.005173758,0.005834691,0.006122049,0.010683382,0.005218153,0.001574244,0.00844499,0.004627399,0.00476052,0.009934362,0.00219021,0.004079078,0.011075001,0.006866333,0.00357755,0.002480861,0.001277612,0.010037613,0.007301665,0.004127815,0.003582057,0.010817193,0.004553525,0.011820445,0.008815153,0.003488309,0.001307065,0.006001403,0.002032562
Nass,  Union,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Tree,,,,0.100097111,0.164374642,0.11893197,0.181902034,0.13174065,0.100288715,0.067112897,0.085824383,0.142767666,0.091909578,0.095047534,0.12634532,0.094924118,0.146111947,0.154002226,0.073971776,0.094893138,0.064497587,0.06194797,0.111895943,0.082952323,0.061859486,0.076998025,0.064035684,0.096065603,0.060630016,0.099013671,0.081756047,0.070740531,0.052797607,0.017113113,0.032523394,0.033757392,0.035771817,0.029832294,0.025501873
Nass,  Term. 101,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Dist. 1031,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003138079,0.002818188,0.008088448,0.002531249,0.009739123,0.002058374,0.006964626,9.11284E-06,0.000114961,6.50139E-05,6.38182E-05,0.000724052,0.002540435,0.000320962,3.79754E-05,5.38017E-05,0.000553283,0.002906563
Nass,  Dist. 105,,,,0.000149768,0.000103206,0,0.000201925,0,2.1757E-06,0.000101147,5.10182E-07,0.000694695,7.16728E-06,0.001490506,1.99166E-05,0.000601148,0.00046222,0.000187469,2.23649E-05,8.61162E-05,1.42453E-06,0.000432282,5.07051E-05,0.000619305,1.67718E-05,0.000152771,0,0.000191193,3.64514E-05,0.000436492,0,5.5841E-05,1.81923E-05,0.00034072,0,0.000344491,0.000316481,6.88295E-05,0.000352311
Nass,  Term. 108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
